areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,2021-10-08,52,164285
overview,United Kingdom,K02000001,2021-10-07,86,164233
overview,United Kingdom,K02000001,2021-10-06,79,164147
overview,United Kingdom,K02000001,2021-10-05,91,164068
overview,United Kingdom,K02000001,2021-10-04,87,163977
overview,United Kingdom,K02000001,2021-10-03,91,163890
overview,United Kingdom,K02000001,2021-10-02,106,163799
overview,United Kingdom,K02000001,2021-10-01,117,163693
overview,United Kingdom,K02000001,2021-09-30,121,163576
overview,United Kingdom,K02000001,2021-09-29,131,163455
overview,United Kingdom,K02000001,2021-09-28,106,163324
overview,United Kingdom,K02000001,2021-09-27,119,163218
overview,United Kingdom,K02000001,2021-09-26,105,163099
overview,United Kingdom,K02000001,2021-09-25,127,162994
overview,United Kingdom,K02000001,2021-09-24,135,162867
overview,United Kingdom,K02000001,2021-09-23,143,162732
overview,United Kingdom,K02000001,2021-09-22,153,162589
overview,United Kingdom,K02000001,2021-09-21,133,162436
overview,United Kingdom,K02000001,2021-09-20,152,162303
overview,United Kingdom,K02000001,2021-09-19,131,162151
overview,United Kingdom,K02000001,2021-09-18,133,162020
overview,United Kingdom,K02000001,2021-09-17,179,161887
overview,United Kingdom,K02000001,2021-09-16,156,161708
overview,United Kingdom,K02000001,2021-09-15,161,161552
overview,United Kingdom,K02000001,2021-09-14,158,161391
overview,United Kingdom,K02000001,2021-09-13,114,161233
overview,United Kingdom,K02000001,2021-09-12,139,161119
overview,United Kingdom,K02000001,2021-09-11,142,160980
overview,United Kingdom,K02000001,2021-09-10,147,160838
overview,United Kingdom,K02000001,2021-09-09,175,160691
overview,United Kingdom,K02000001,2021-09-08,140,160516
overview,United Kingdom,K02000001,2021-09-07,157,160376
overview,United Kingdom,K02000001,2021-09-06,151,160219
overview,United Kingdom,K02000001,2021-09-05,154,160068
overview,United Kingdom,K02000001,2021-09-04,138,159914
overview,United Kingdom,K02000001,2021-09-03,147,159776
overview,United Kingdom,K02000001,2021-09-02,134,159629
overview,United Kingdom,K02000001,2021-09-01,115,159495
overview,United Kingdom,K02000001,2021-08-31,118,159380
overview,United Kingdom,K02000001,2021-08-30,108,159262
overview,United Kingdom,K02000001,2021-08-29,134,159154
overview,United Kingdom,K02000001,2021-08-28,131,159020
overview,United Kingdom,K02000001,2021-08-27,134,158889
overview,United Kingdom,K02000001,2021-08-26,120,158755
overview,United Kingdom,K02000001,2021-08-25,103,158635
overview,United Kingdom,K02000001,2021-08-24,115,158532
overview,United Kingdom,K02000001,2021-08-23,118,158417
overview,United Kingdom,K02000001,2021-08-22,125,158299
overview,United Kingdom,K02000001,2021-08-21,112,158174
overview,United Kingdom,K02000001,2021-08-20,124,158062
overview,United Kingdom,K02000001,2021-08-19,112,157938
overview,United Kingdom,K02000001,2021-08-18,109,157826
overview,United Kingdom,K02000001,2021-08-17,97,157717
overview,United Kingdom,K02000001,2021-08-16,84,157620
overview,United Kingdom,K02000001,2021-08-15,89,157536
overview,United Kingdom,K02000001,2021-08-14,102,157447
overview,United Kingdom,K02000001,2021-08-13,96,157345
overview,United Kingdom,K02000001,2021-08-12,101,157249
overview,United Kingdom,K02000001,2021-08-11,85,157148
overview,United Kingdom,K02000001,2021-08-10,83,157063
overview,United Kingdom,K02000001,2021-08-09,83,156980
overview,United Kingdom,K02000001,2021-08-08,82,156897
overview,United Kingdom,K02000001,2021-08-07,105,156815
overview,United Kingdom,K02000001,2021-08-06,95,156710
