areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-10-16,869,562061
overview,United Kingdom,K02000001,2021-10-15,935,561192
overview,United Kingdom,K02000001,2021-10-14,893,560257
overview,United Kingdom,K02000001,2021-10-13,907,559364
overview,United Kingdom,K02000001,2021-10-12,920,558457
overview,United Kingdom,K02000001,2021-10-11,830,557537
overview,United Kingdom,K02000001,2021-10-10,720,556707
overview,United Kingdom,K02000001,2021-10-09,758,555987
overview,United Kingdom,K02000001,2021-10-08,780,555229
overview,United Kingdom,K02000001,2021-10-07,805,554449
overview,United Kingdom,K02000001,2021-10-06,774,553644
overview,United Kingdom,K02000001,2021-10-05,830,552870
overview,United Kingdom,K02000001,2021-10-04,799,552040
overview,United Kingdom,K02000001,2021-10-03,716,551241
overview,United Kingdom,K02000001,2021-10-02,693,550525
overview,United Kingdom,K02000001,2021-10-01,687,549832
overview,United Kingdom,K02000001,2021-09-30,692,549145
overview,United Kingdom,K02000001,2021-09-29,801,548453
overview,United Kingdom,K02000001,2021-09-28,769,547652
overview,United Kingdom,K02000001,2021-09-27,779,546883
overview,United Kingdom,K02000001,2021-09-26,666,546104
overview,United Kingdom,K02000001,2021-09-25,668,545438
overview,United Kingdom,K02000001,2021-09-24,723,544770
overview,United Kingdom,K02000001,2021-09-23,772,544047
overview,United Kingdom,K02000001,2021-09-22,753,543275
overview,United Kingdom,K02000001,2021-09-21,800,542522
overview,United Kingdom,K02000001,2021-09-20,810,541722
overview,United Kingdom,K02000001,2021-09-19,728,540912
overview,United Kingdom,K02000001,2021-09-18,759,540184
overview,United Kingdom,K02000001,2021-09-17,753,539425
overview,United Kingdom,K02000001,2021-09-16,889,538672
overview,United Kingdom,K02000001,2021-09-15,947,537783
overview,United Kingdom,K02000001,2021-09-14,945,536836
overview,United Kingdom,K02000001,2021-09-13,936,535891
overview,United Kingdom,K02000001,2021-09-12,862,534955
overview,United Kingdom,K02000001,2021-09-11,851,534093
overview,United Kingdom,K02000001,2021-09-10,921,533242
overview,United Kingdom,K02000001,2021-09-09,1032,532321
overview,United Kingdom,K02000001,2021-09-08,1162,531289
overview,United Kingdom,K02000001,2021-09-07,1102,530127
overview,United Kingdom,K02000001,2021-09-06,1077,529025
overview,United Kingdom,K02000001,2021-09-05,879,527948
overview,United Kingdom,K02000001,2021-09-04,949,527069
overview,United Kingdom,K02000001,2021-09-03,927,526120
overview,United Kingdom,K02000001,2021-09-02,1001,525193
overview,United Kingdom,K02000001,2021-09-01,1077,524192
overview,United Kingdom,K02000001,2021-08-31,997,523115
overview,United Kingdom,K02000001,2021-08-30,997,522118
overview,United Kingdom,K02000001,2021-08-29,852,521121
overview,United Kingdom,K02000001,2021-08-28,860,520269
overview,United Kingdom,K02000001,2021-08-27,939,519409
overview,United Kingdom,K02000001,2021-08-26,952,518470
overview,United Kingdom,K02000001,2021-08-25,1031,517518
overview,United Kingdom,K02000001,2021-08-24,998,516487
overview,United Kingdom,K02000001,2021-08-23,966,515489
overview,United Kingdom,K02000001,2021-08-22,832,514523
overview,United Kingdom,K02000001,2021-08-21,871,513691
overview,United Kingdom,K02000001,2021-08-20,869,512820
overview,United Kingdom,K02000001,2021-08-19,944,511951
overview,United Kingdom,K02000001,2021-08-18,909,511007
overview,United Kingdom,K02000001,2021-08-17,967,510098
overview,United Kingdom,K02000001,2021-08-16,870,509131
overview,United Kingdom,K02000001,2021-08-15,808,508261
overview,United Kingdom,K02000001,2021-08-14,787,507453
overview,United Kingdom,K02000001,2021-08-13,787,506666
overview,United Kingdom,K02000001,2021-08-12,860,505879
overview,United Kingdom,K02000001,2021-08-11,847,505019
overview,United Kingdom,K02000001,2021-08-10,891,504172
overview,United Kingdom,K02000001,2021-08-09,755,503281
overview,United Kingdom,K02000001,2021-08-08,744,502526
overview,United Kingdom,K02000001,2021-08-07,727,501782
overview,United Kingdom,K02000001,2021-08-06,779,501055
overview,United Kingdom,K02000001,2021-08-05,811,500276
overview,United Kingdom,K02000001,2021-08-04,835,499465
overview,United Kingdom,K02000001,2021-08-03,764,498630
overview,United Kingdom,K02000001,2021-08-02,785,497866
overview,United Kingdom,K02000001,2021-08-01,740,497081
overview,United Kingdom,K02000001,2021-07-31,674,496341
overview,United Kingdom,K02000001,2021-07-30,746,495667
overview,United Kingdom,K02000001,2021-07-29,837,494921
overview,United Kingdom,K02000001,2021-07-28,851,494084
overview,United Kingdom,K02000001,2021-07-27,916,493233
overview,United Kingdom,K02000001,2021-07-26,939,492317
overview,United Kingdom,K02000001,2021-07-25,941,491378
overview,United Kingdom,K02000001,2021-07-24,827,490437
overview,United Kingdom,K02000001,2021-07-23,864,489610
overview,United Kingdom,K02000001,2021-07-22,954,488746
overview,United Kingdom,K02000001,2021-07-21,928,487792
overview,United Kingdom,K02000001,2021-07-20,936,486864
overview,United Kingdom,K02000001,2021-07-19,874,485928
overview,United Kingdom,K02000001,2021-07-18,799,485054
overview,United Kingdom,K02000001,2021-07-17,709,484255
overview,United Kingdom,K02000001,2021-07-16,700,483546
overview,United Kingdom,K02000001,2021-07-15,772,482846
overview,United Kingdom,K02000001,2021-07-14,756,482074
overview,United Kingdom,K02000001,2021-07-13,751,481318
overview,United Kingdom,K02000001,2021-07-12,732,480567
overview,United Kingdom,K02000001,2021-07-11,593,479835
overview,United Kingdom,K02000001,2021-07-10,552,479242
overview,United Kingdom,K02000001,2021-07-09,556,478690
overview,United Kingdom,K02000001,2021-07-08,606,478134
overview,United Kingdom,K02000001,2021-07-07,569,477528
overview,United Kingdom,K02000001,2021-07-06,574,476959
overview,United Kingdom,K02000001,2021-07-05,517,476385
overview,United Kingdom,K02000001,2021-07-04,465,475868
overview,United Kingdom,K02000001,2021-07-03,392,475403
overview,United Kingdom,K02000001,2021-07-02,390,475011
