areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-10-19,7891
overview,United Kingdom,K02000001,2021-10-18,7767
overview,United Kingdom,K02000001,2021-10-17,7407
overview,United Kingdom,K02000001,2021-10-16,7142
overview,United Kingdom,K02000001,2021-10-15,7120
overview,United Kingdom,K02000001,2021-10-14,7115
overview,United Kingdom,K02000001,2021-10-13,7065
overview,United Kingdom,K02000001,2021-10-12,7057
overview,United Kingdom,K02000001,2021-10-11,7040
overview,United Kingdom,K02000001,2021-10-10,6891
overview,United Kingdom,K02000001,2021-10-09,6722
overview,United Kingdom,K02000001,2021-10-08,6780
overview,United Kingdom,K02000001,2021-10-07,6804
overview,United Kingdom,K02000001,2021-10-06,6860
overview,United Kingdom,K02000001,2021-10-05,6875
overview,United Kingdom,K02000001,2021-10-04,6800
overview,United Kingdom,K02000001,2021-10-03,6611
overview,United Kingdom,K02000001,2021-10-02,6455
overview,United Kingdom,K02000001,2021-10-01,6604
overview,United Kingdom,K02000001,2021-09-30,6774
overview,United Kingdom,K02000001,2021-09-29,6920
overview,United Kingdom,K02000001,2021-09-28,7035
overview,United Kingdom,K02000001,2021-09-27,7054
overview,United Kingdom,K02000001,2021-09-26,6822
overview,United Kingdom,K02000001,2021-09-25,6962
overview,United Kingdom,K02000001,2021-09-24,6918
overview,United Kingdom,K02000001,2021-09-23,7170
overview,United Kingdom,K02000001,2021-09-22,7420
overview,United Kingdom,K02000001,2021-09-21,7628
overview,United Kingdom,K02000001,2021-09-20,7800
overview,United Kingdom,K02000001,2021-09-19,7748
overview,United Kingdom,K02000001,2021-09-18,7697
overview,United Kingdom,K02000001,2021-09-17,7907
overview,United Kingdom,K02000001,2021-09-16,8114
overview,United Kingdom,K02000001,2021-09-15,8398
overview,United Kingdom,K02000001,2021-09-14,8394
overview,United Kingdom,K02000001,2021-09-13,8473
overview,United Kingdom,K02000001,2021-09-12,8250
overview,United Kingdom,K02000001,2021-09-11,8140
overview,United Kingdom,K02000001,2021-09-10,8312
overview,United Kingdom,K02000001,2021-09-09,8141
