areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-10-19,32767,45433757
overview,United Kingdom,K02000001,2021-10-18,23579,45400990
overview,United Kingdom,K02000001,2021-10-17,17265,45377411
overview,United Kingdom,K02000001,2021-10-16,33483,45360146
overview,United Kingdom,K02000001,2021-10-15,29432,45326663
overview,United Kingdom,K02000001,2021-10-14,27991,45297231
overview,United Kingdom,K02000001,2021-10-13,29481,45269240
overview,United Kingdom,K02000001,2021-10-12,26946,45239759
overview,United Kingdom,K02000001,2021-10-11,23632,45212813
overview,United Kingdom,K02000001,2021-10-10,19451,45189181
overview,United Kingdom,K02000001,2021-10-09,33477,45169730
overview,United Kingdom,K02000001,2021-10-08,29068,45136253
overview,United Kingdom,K02000001,2021-10-07,28656,45107185
overview,United Kingdom,K02000001,2021-10-06,28576,45078529
overview,United Kingdom,K02000001,2021-10-05,28572,45049953
overview,United Kingdom,K02000001,2021-10-04,29337,45021381
overview,United Kingdom,K02000001,2021-10-03,21532,44992044
overview,United Kingdom,K02000001,2021-10-02,34391,44970512
overview,United Kingdom,K02000001,2021-10-01,34289,44936121
overview,United Kingdom,K02000001,2021-09-30,34459,44901832
overview,United Kingdom,K02000001,2021-09-29,34093,44867373
overview,United Kingdom,K02000001,2021-09-28,33532,44833280
overview,United Kingdom,K02000001,2021-09-27,33177,44799748
overview,United Kingdom,K02000001,2021-09-26,25539,44766571
overview,United Kingdom,K02000001,2021-09-25,47118,44741032
overview,United Kingdom,K02000001,2021-09-24,44759,44693914
overview,United Kingdom,K02000001,2021-09-23,44588,44649155
overview,United Kingdom,K02000001,2021-09-22,44047,44604567
overview,United Kingdom,K02000001,2021-09-21,43406,44560520
overview,United Kingdom,K02000001,2021-09-20,46342,44517114
overview,United Kingdom,K02000001,2021-09-19,35157,44470772
overview,United Kingdom,K02000001,2021-09-18,72497,44435615
overview,United Kingdom,K02000001,2021-09-17,60384,44363118
overview,United Kingdom,K02000001,2021-09-16,63973,44302734
overview,United Kingdom,K02000001,2021-09-15,63290,44238761
overview,United Kingdom,K02000001,2021-09-14,66725,44175471
overview,United Kingdom,K02000001,2021-09-13,60653,44108746
overview,United Kingdom,K02000001,2021-09-12,52615,44048093
overview,United Kingdom,K02000001,2021-09-11,98059,43995478
overview,United Kingdom,K02000001,2021-09-10,91811,43897419
overview,United Kingdom,K02000001,2021-09-09,96702,43805608
overview,United Kingdom,K02000001,2021-09-08,87960,43708906
overview,United Kingdom,K02000001,2021-09-07,85848,43620946
overview,United Kingdom,K02000001,2021-09-06,80015,43535098
overview,United Kingdom,K02000001,2021-09-05,73193,43455083
overview,United Kingdom,K02000001,2021-09-04,128553,43381890
overview,United Kingdom,K02000001,2021-09-03,110590,43253337
overview,United Kingdom,K02000001,2021-09-02,119375,43142747
overview,United Kingdom,K02000001,2021-09-01,113385,43023372
overview,United Kingdom,K02000001,2021-08-31,119402,42909987
overview,United Kingdom,K02000001,2021-08-30,66648,42790585
overview,United Kingdom,K02000001,2021-08-29,79440,42723937
overview,United Kingdom,K02000001,2021-08-28,133688,42644497
overview,United Kingdom,K02000001,2021-08-27,131456,42510809
overview,United Kingdom,K02000001,2021-08-26,144936,42379353
overview,United Kingdom,K02000001,2021-08-25,161705,42234417
overview,United Kingdom,K02000001,2021-08-24,130676,42072712
overview,United Kingdom,K02000001,2021-08-23,131283,41942036
overview,United Kingdom,K02000001,2021-08-22,116352,41810753
overview,United Kingdom,K02000001,2021-08-21,194881,41694401
overview,United Kingdom,K02000001,2021-08-20,167392,41499520
overview,United Kingdom,K02000001,2021-08-19,175059,41332128
overview,United Kingdom,K02000001,2021-08-18,169223,41157069
overview,United Kingdom,K02000001,2021-08-17,145875,40987846
overview,United Kingdom,K02000001,2021-08-16,138390,40841971
overview,United Kingdom,K02000001,2021-08-15,126383,40703581
overview,United Kingdom,K02000001,2021-08-14,199584,40577198
overview,United Kingdom,K02000001,2021-08-13,171585,40377614
overview,United Kingdom,K02000001,2021-08-12,192559,40206029
overview,United Kingdom,K02000001,2021-08-11,173761,40013470
overview,United Kingdom,K02000001,2021-08-10,151143,39839709
overview,United Kingdom,K02000001,2021-08-09,137028,39688566
overview,United Kingdom,K02000001,2021-08-08,122070,39551538
overview,United Kingdom,K02000001,2021-08-07,213583,39429468
overview,United Kingdom,K02000001,2021-08-06,168356,39215885
overview,United Kingdom,K02000001,2021-08-05,172692,39047529
overview,United Kingdom,K02000001,2021-08-04,165669,38874837
overview,United Kingdom,K02000001,2021-08-03,142761,38709168
overview,United Kingdom,K02000001,2021-08-02,126192,38566407
overview,United Kingdom,K02000001,2021-08-01,118044,38440215
overview,United Kingdom,K02000001,2021-07-31,212014,38322171
overview,United Kingdom,K02000001,2021-07-30,171096,38110157
overview,United Kingdom,K02000001,2021-07-29,179918,37939061
overview,United Kingdom,K02000001,2021-07-28,171173,37759143
overview,United Kingdom,K02000001,2021-07-27,151650,37587970
overview,United Kingdom,K02000001,2021-07-26,148936,37436320
overview,United Kingdom,K02000001,2021-07-25,117956,37287384
overview,United Kingdom,K02000001,2021-07-24,203886,37169428
overview,United Kingdom,K02000001,2021-07-23,189341,36965542
overview,United Kingdom,K02000001,2021-07-22,188297,36776201
overview,United Kingdom,K02000001,2021-07-21,183338,36587904
overview,United Kingdom,K02000001,2021-07-20,161279,36404566
overview,United Kingdom,K02000001,2021-07-19,143560,36243287
overview,United Kingdom,K02000001,2021-07-18,128878,36099727
overview,United Kingdom,K02000001,2021-07-17,225214,35970849
overview,United Kingdom,K02000001,2021-07-16,202314,35745635
overview,United Kingdom,K02000001,2021-07-15,201893,35543321
overview,United Kingdom,K02000001,2021-07-14,185661,35341428
overview,United Kingdom,K02000001,2021-07-13,158276,35155767
overview,United Kingdom,K02000001,2021-07-12,125360,34997491
overview,United Kingdom,K02000001,2021-07-11,107620,34872131
overview,United Kingdom,K02000001,2021-07-10,211446,34764511
overview,United Kingdom,K02000001,2021-07-09,178819,34553065
overview,United Kingdom,K02000001,2021-07-08,175467,34374246
overview,United Kingdom,K02000001,2021-07-07,171477,34198779
overview,United Kingdom,K02000001,2021-07-06,153126,34027302
overview,United Kingdom,K02000001,2021-07-05,147814,33874176
overview,United Kingdom,K02000001,2021-07-04,111410,33726362
overview,United Kingdom,K02000001,2021-07-03,196209,33614952
overview,United Kingdom,K02000001,2021-07-02,177478,33418743
overview,United Kingdom,K02000001,2021-07-01,193066,33241265
overview,United Kingdom,K02000001,2021-06-30,175749,33048199
overview,United Kingdom,K02000001,2021-06-29,150688,32872450
overview,United Kingdom,K02000001,2021-06-28,138016,32721762
overview,United Kingdom,K02000001,2021-06-27,123555,32583746
overview,United Kingdom,K02000001,2021-06-26,199505,32460191
overview,United Kingdom,K02000001,2021-06-25,174770,32260686
overview,United Kingdom,K02000001,2021-06-24,177813,32085916
overview,United Kingdom,K02000001,2021-06-23,167988,31908103
overview,United Kingdom,K02000001,2021-06-22,250875,31740115
overview,United Kingdom,K02000001,2021-06-21,39325,31489240
overview,United Kingdom,K02000001,2021-06-20,109408,31449915
overview,United Kingdom,K02000001,2021-06-19,236363,31340507
overview,United Kingdom,K02000001,2021-06-18,205677,31104144
overview,United Kingdom,K02000001,2021-06-17,223260,30898467
overview,United Kingdom,K02000001,2021-06-16,234834,30675207
overview,United Kingdom,K02000001,2021-06-15,230666,30440373
overview,United Kingdom,K02000001,2021-06-14,235928,30209707
overview,United Kingdom,K02000001,2021-06-13,181121,29973779
overview,United Kingdom,K02000001,2021-06-12,320326,29792658
overview,United Kingdom,K02000001,2021-06-11,307192,29472332
overview,United Kingdom,K02000001,2021-06-10,308038,29165140
overview,United Kingdom,K02000001,2021-06-09,316258,28857102
overview,United Kingdom,K02000001,2021-06-08,313482,28540844
overview,United Kingdom,K02000001,2021-06-07,306068,28227362
overview,United Kingdom,K02000001,2021-06-06,259941,27921294
overview,United Kingdom,K02000001,2021-06-05,473378,27661353
overview,United Kingdom,K02000001,2021-06-04,388031,27187975
overview,United Kingdom,K02000001,2021-06-03,377641,26799944
overview,United Kingdom,K02000001,2021-06-02,349019,26422303
overview,United Kingdom,K02000001,2021-06-01,338565,26073284
overview,United Kingdom,K02000001,2021-05-31,195546,25734719
overview,United Kingdom,K02000001,2021-05-30,206322,25539173
overview,United Kingdom,K02000001,2021-05-29,418848,25332851
overview,United Kingdom,K02000001,2021-05-28,435951,24914003
overview,United Kingdom,K02000001,2021-05-27,434096,24478052
overview,United Kingdom,K02000001,2021-05-26,427458,24043956
overview,United Kingdom,K02000001,2021-05-25,387987,23616498
overview,United Kingdom,K02000001,2021-05-24,332955,23228511
overview,United Kingdom,K02000001,2021-05-23,252139,22895556
overview,United Kingdom,K02000001,2021-05-22,556951,22643417
overview,United Kingdom,K02000001,2021-05-21,426683,22086466
overview,United Kingdom,K02000001,2021-05-20,420312,21659783
overview,United Kingdom,K02000001,2021-05-19,369018,21239471
overview,United Kingdom,K02000001,2021-05-18,324001,20870453
overview,United Kingdom,K02000001,2021-05-17,259049,20546452
overview,United Kingdom,K02000001,2021-05-16,183745,20287403
overview,United Kingdom,K02000001,2021-05-15,391246,20103658
overview,United Kingdom,K02000001,2021-05-14,393402,19712412
overview,United Kingdom,K02000001,2021-05-13,428041,19319010
overview,United Kingdom,K02000001,2021-05-12,452437,18890969
overview,United Kingdom,K02000001,2021-05-11,350147,18438532
overview,United Kingdom,K02000001,2021-05-10,231835,18088385
overview,United Kingdom,K02000001,2021-05-09,187171,17856550
overview,United Kingdom,K02000001,2021-05-08,438837,17669379
overview,United Kingdom,K02000001,2021-05-07,465822,17230542
overview,United Kingdom,K02000001,2021-05-06,473001,16764720
overview,United Kingdom,K02000001,2021-05-05,404226,16291719
overview,United Kingdom,K02000001,2021-05-04,257486,15887493
overview,United Kingdom,K02000001,2021-05-03,127499,15630007
overview,United Kingdom,K02000001,2021-05-02,172891,15502508
overview,United Kingdom,K02000001,2021-05-01,372304,15329617
overview,United Kingdom,K02000001,2021-04-30,421785,14957313
overview,United Kingdom,K02000001,2021-04-29,491567,14535528
overview,United Kingdom,K02000001,2021-04-28,462885,14043961
overview,United Kingdom,K02000001,2021-04-27,379265,13581076
overview,United Kingdom,K02000001,2021-04-26,304688,13201811
overview,United Kingdom,K02000001,2021-04-25,260801,12897123
overview,United Kingdom,K02000001,2021-04-24,547636,12636322
overview,United Kingdom,K02000001,2021-04-23,465015,12088686
overview,United Kingdom,K02000001,2021-04-22,431070,11623671
overview,United Kingdom,K02000001,2021-04-21,416784,11192601
overview,United Kingdom,K02000001,2021-04-20,350027,10775817
overview,United Kingdom,K02000001,2021-04-19,273751,10425790
overview,United Kingdom,K02000001,2021-04-18,221193,10152039
overview,United Kingdom,K02000001,2021-04-17,499635,9930846
overview,United Kingdom,K02000001,2021-04-16,499664,9431211
overview,United Kingdom,K02000001,2021-04-15,417683,8931547
overview,United Kingdom,K02000001,2021-04-14,343783,8513864
overview,United Kingdom,K02000001,2021-04-13,312685,8170081
overview,United Kingdom,K02000001,2021-04-12,201191,7857396
overview,United Kingdom,K02000001,2021-04-11,189665,7656205
overview,United Kingdom,K02000001,2021-04-10,475230,7466540
overview,United Kingdom,K02000001,2021-04-09,450136,6991310
overview,United Kingdom,K02000001,2021-04-08,449269,6541174
overview,United Kingdom,K02000001,2021-04-07,408396,6091905
overview,United Kingdom,K02000001,2021-04-06,186793,5683509
overview,United Kingdom,K02000001,2021-04-05,64590,5496716
overview,United Kingdom,K02000001,2021-04-04,47708,5432126
overview,United Kingdom,K02000001,2021-04-03,178913,5384418
overview,United Kingdom,K02000001,2021-04-02,246631,5205505
overview,United Kingdom,K02000001,2021-04-01,445416,4958874
overview,United Kingdom,K02000001,2021-03-31,387574,4513458
overview,United Kingdom,K02000001,2021-03-30,277682,4125884
overview,United Kingdom,K02000001,2021-03-29,168230,3848202
overview,United Kingdom,K02000001,2021-03-28,147594,3679972
overview,United Kingdom,K02000001,2021-03-27,238861,3532378
overview,United Kingdom,K02000001,2021-03-26,283654,3293517
overview,United Kingdom,K02000001,2021-03-25,234382,3009863
overview,United Kingdom,K02000001,2021-03-24,242642,2775481
overview,United Kingdom,K02000001,2021-03-23,169155,2532839
overview,United Kingdom,K02000001,2021-03-22,82300,2363684
overview,United Kingdom,K02000001,2021-03-21,52612,2281384
overview,United Kingdom,K02000001,2021-03-20,91977,2228772
